問題,ジャンル,音楽,ヒント,答え
,,,,
ポルノグラフィティ,,,,
問題1,2001年6月27日 J-POP,URL,エフティ資生堂「ティセラ・トコナッツココナッツ」CMソング ライブでは手拍子と「ラララ」の合唱によって会場が一体となる定番曲 ,ポルノグラフィティ アゲハ蝶
問題2,1999年9月8日 J-POP,URL,TBSの討論 バラエティー番組「ここがヘンだよ日本人」のエンディングテーマ,ポルノグラフィティ アポロ
問題3,2000年9月13日 J-POP,URL,初出場となった『第51回NHK紅白歌合戦』では本楽曲を披露　『THE FIRST TAKE』第148回（2021年9月3日公開）では、「一番求められているだろう楽曲」として本楽曲の特別アレンジを披露,ポルノグラフィティ サウダージ
問題4,2000年7月12日 J-POP,URL,大塚製薬「ポカリスエット」2000年度CMソング ライブではサビで手を左右上下に交互に動かす踊りがお馴染みの定番曲の一つ,ポルノグラフィティ ミュージック・アワー
問題5,2003年9月26日 J-POP,URL,アニメ『鋼の錬金術師』のオープニングテーマ オリコンチャートでの登場回数は自己最高となる38週を記録,ポルノグラフィティ メリッサ
,,,,
KANA-BOON,,,,
問題6,2015年11月11日 J-POP,URL,フジテレビ系アニメ『すべてがFになる THE PERFECT INSIDER』の主題歌,KANA-BOON talking
問題7,2015年5月13日 J-POP,URL,資生堂「ANESSA」コマーシャルソングに起用,KANA-BOON ないものねだり
問題8,2014年11月26日 J-POP,URL,テレビ東京系アニメ『NARUTO -ナルト- 疾風伝』の16代目オープニングテーマ,KANA-BOON シルエット
,,,,
米津玄師,,,,
問題9,2017年6月21日,URL,読売テレビ系列アニメ『僕のヒーローアカデミア』の第2期第1クールオープニングテーマ,米津玄師 ピースサイン
,,,,
BUNP OF CHICHEN,,,,
問題10,,URL,テレビアニメ『GRANBLUE FANTASY The Animation』にオープニングテーマとして提供,BUNP OF CHICHEN GO
問題11,2015年4月22日 J-POP,URL,テレビアニメ『血界戦線』の第1期オープニングテーマ,"BUNP OF CHICHEN Hello,world"
問題12,2000年3月27日 J-POP,URL,2000年代にFlashアニメとして流行,BUNP OF CHICHEN K
問題13,2014年3月12日 J-POP,URL,初音ミクとのコラボレーション楽曲,BUNP OF CHICHEN ray
問題14,2007年12月19日 J-POP,URL,才能がないことに悩む人＝『才悩人』を応援する歌,BUNP OF CHICHEN 才悩人応援歌
,,,,
ClariS,,,,
問題15,2018年8月15日 J-POP,URL,テレビアニメ『はたらく細胞』のエンディングテーマ,ClariS Cheers
問題16,2013年10月30日 J-POP,URL,アニメーション映画『劇場版 魔法少女まどか☆マギカ[]新編]叛逆の物語』オープニングテーマ,ClariS カラフル
問題17,2011年2月2日 J-POP,URL,テレビアニメ『魔法少女まどか☆マギカ』オープニングテーマ 最近ではMAD動画でも話題に,ClariS コネクト
